店铺id,店铺名称,风格标签,店铺评分,月销量,配送费用（元）,配置起步价（元）,配送时长（分钟）,店铺地址
155146236,帅帅砂锅麻辣烫,米粉面馆,4.6,1088,4,20,38,深圳市南山区南头街道义学街一坊8-3号
155146236,帅帅砂锅麻辣烫,米粉面馆,4.6,1088,4,20,38,深圳市南山区南头街道义学街一坊8-3号
156990942,汉唐源西安手工面馆,地方小吃,4.9,272,8.5,20,34,深圳市南山区南头街道常丰花园B座首层2#铺位东面
159313169,文寿司(南山店),日韩料理,3.9,529,6.5,20,48,深圳市南山区南山街道南园村正街54号1楼
161371344,阿姨米粉,米粉面馆,4.1,53,8.5,20,34,深圳市南山区南山街道光大村新一街1-9号
558656,云南过桥米线(学府店),米粉面馆,4.9,1210,6.5,20,32,深圳市南山区南山街道学府路以南四方院111-16号（原四方院119号）
157679341,初心台湾饭团炒酸奶,甜品,5,55,2,20,33,深圳市南山区粤海街道桂庙新村西部美食街a13商铺
2132826,臣记盐焗鸡,粤菜,5,50,7,20,35,深圳市南山区南头街道南新路2269号之一
19934,淘客寿司,日韩料理,4.7,303,3,20,39,深圳市南山区桂庙新村37号-1号商铺
341571,客难忘状元三及第,米粉面馆,4.8,1449,9,20,31,深圳市南山区南新路富嘉名阁101号
25145,E·go壹果,炸鸡炸串,5,61,6,20,29,深圳市南山区粤海街道桂庙新村37-1号B5
613297,孖宝,米粉面馆,4.8,560,2,15,38,深圳市南山区桂庙新村72号101房
155967891,物盘肠粉,米粉面馆,4.4,595,6.5,20,45,深圳市南山区粤海街道兴南路88号南油B区47栋一楼
1414276,粉之都（学府店）,米粉面馆,5,160,8.5,20,29,深圳市南山区南山街道学府路荔馨村A1栋101.122.123号商铺
995658,鹅良鱼粉,米粉面馆,4.7,382,5,12,27,深圳市南山区粤海街道学府路桂庙新村65-2号
161095739,西关东记(学府路店),甜品,4.7,199,8.5,20,37,深圳市南山区南头街道常兴路西侧金宝花园一楼商铺101号
1491372,袁东记烧烤,盖浇饭,5,69,8,20,36,深圳市南山区南山街道南光路南海明珠1栋103B-2
873467,正宗重庆麻辣烫(向南分店),麻辣烫,4.7,2104,7,20,36,深圳市南山区向南村大板桥22号一楼101铺
156187381,多乐堡,炸鸡炸串,4.8,1406,5.5,20,44,深圳市南山区粤海街道后海大道与登良路交汇处后海新村130号
308686,必胜客宅急送（后海店）,炸鸡炸串,4.9,510,9,0,40,深圳市南山区南山文化中心区海德二路茂业时代广场一楼118
1957979,日船章鱼小丸子（常兴天虹店）,地方小吃,4.8,304,6.5,20,30,深圳市南山区南头街道常兴广场首层西11-2号商铺
147034512,旺湘小厨,川湘菜,4.1,677,5,0,41,深圳市南山区南头街道艺园路荔园新村2栋A103铺
157762270,好好味面家,地方小吃,5,201,6,20,24,深圳市南山区粤海街道学府桂庙新村37栋西部百货B2档
160253092,Hotties火辣炸鸡 (南油店）,炸鸡炸串,4.6,388,8.5,20,45,深圳市南山区粤海街道南商路南门一坊B026
152341978,咸骨煲仔粥 爽滑饺子王（大板桥店）,饺子馄饨,4.7,602,6,20,44,深圳市南山区南山街道大板桥巷41-10号
161095739,西关东记(学府路店),甜品,4.7,199,8.5,20,37,深圳市南山区南头街道常兴路西侧金宝花园一楼商铺101号
26041,强记潮汕味道佳园,盖浇饭,4.4,1044,6,20,39,深圳市南山区粤海街道科发路2号科技工业园7栋113
157983804,蔡记小蛮椒麻辣烫(南山店),麻辣烫,4.4,3843,4.5,20,47,深圳市南山区南山街道亿利达大厦3栋1楼1006B
161371340,赵记柴火鸡饭,川湘菜,4.6,445,5,20,43,深圳市南山区南山街道向南村5坊9号102
957312,咸骨煲仔粥爽滑饺子王(总店),包子粥店,4.7,3495,6.5,20,48,深圳市南山区南山街道南山村东巷58号
361101,金牌隆江猪脚饭(大新店),简餐,4.7,659,6,20,41,深圳市南山区南头街道大新新村10—3商铺
152763984,湖南香辣烧烤（南山店）,地方小吃,4.4,50,6,20,32,深圳市南山区南头街道桃园路巷头新村22栋-102号
